sim_time,vehicle_id,x,y,speed,acceleration,is_malicious
21.0,car0,268.8971146307833,-1.6,15.527666947637409,0.7170846045250201,0
21.0,veh_0_4246,188.73486960816166,-1.6,14.77879547067988,0.8470003055594688,0
21.0,veh_0_4971,245.15546905602997,-1.6,15.506846518060847,0.25856524757109867,0
21.0,veh_0_7980,211.27383894285234,-1.6,14.649313359277153,-0.6304966049734517,0
21.0,veh_1_1020,130.90993832244268,-1.6,10.702413383599298,0.7829382434487364,0
21.0,veh_1_5527,35.11579542378267,-1.6,7.9450062536232,1.171505431406672,0
21.0,veh_1_6160,106.88272178664819,-1.6,9.852950099606504,0.07236236110330196,0
21.0,veh_1_6546,66.70432666119743,-1.6,7.582650967765004,0.14475528560578432,0
21.0,veh_1_7048,50.5323124899645,-1.6,7.986903779893734,-0.3721598107106683,0
21.0,veh_2_5705,17.668410919792162,-1.6,7.150225145490431,1.6621396247297504,0
21.0,veh_3_5646,7.613867950122136,-1.6,4.257311040984312,2.4851201637880838,0
