sim_time,vehicle_id,x,y,speed,acceleration,is_malicious
71.0,car0,996.4512206668242,1.6,5.42250074292952,1.436337152775371,0
71.0,veh_0_4246,922.1788687219896,-1.6,14.744269415091267,0.4107816089825356,0
71.0,veh_0_4971,993.2193597154348,-1.6,6.230538597340183,-0.1483676581715443,0
71.0,veh_0_7980,944.6184326580876,-1.6,14.653019233963283,-0.65277778699528,0
71.0,veh_1_1020,663.856690999592,-1.6,10.625476310786718,-0.8747817026683968,0
71.0,veh_1_5527,415.56913003938126,-1.6,7.643283945587664,0.95815746893261,0
71.0,veh_1_6160,599.3128964678385,-1.6,9.828912480233674,-0.15055601028725718,0
71.0,veh_1_6546,446.104430371023,-1.6,7.586249507338144,-0.3867545236833436,0
71.0,veh_1_7048,430.84934071648695,-1.6,7.630966557994032,0.4850237289470183,0
71.0,veh_2_5705,400.283509967015,-1.6,7.516538540025436,-0.9726083366108895,0
71.0,veh_3_4946,369.8098261552737,-1.6,7.598780865294133,-0.4579312513151379,0
71.0,veh_3_5646,385.0479876649429,-1.6,7.636241139923509,0.11330157778857597,0
71.0,veh_4_1859,308.7843120473807,-1.6,7.595626576054121,0.13380545449076742,0
71.0,veh_4_2586,324.06081853530816,-1.6,7.648127535070047,0.5935190360982823,0
71.0,veh_4_3076,354.5351352588995,-1.6,7.561475818019814,0.022636531701918372,0
71.0,veh_4_4029,293.5040646158351,-1.6,7.543537935239782,-0.9828526373158564,0
71.0,veh_4_9686,339.2980160810795,-1.6,7.573967802584318,-0.26461695739925517,0
71.0,veh_5_1274,262.99258806772474,-1.6,7.566145000741409,-0.5844679597725744,0
71.0,veh_5_2402,278.2477719296283,-1.6,7.59800464893618,0.1780216289400105,0
71.0,veh_5_3041,247.7499435146074,-1.6,7.639224003146587,0.5059759361889249,0
71.0,veh_5_3836,232.49673716261012,-1.6,7.620155795851005,-0.06868639165855228,0
71.0,veh_5_5552,201.95729353153723,-1.6,7.540411567363795,-0.04193250055049447,0
71.0,veh_5_8559,217.22041830521854,-1.6,7.6692878547274885,0.7388650705379352,0
71.0,veh_6_1008,124.8965888549221,-1.6,7.462599742306573,0.41651030075422923,0
71.0,veh_6_1626,185.41127586473505,-1.6,7.51111380081096,0.8479459294583691,0
71.0,veh_6_3652,170.26445352621172,-1.6,7.444884354073921,-0.32754963407220394,0
71.0,veh_6_5122,109.82138131186709,-1.6,7.390452202822744,0.379596404843916,0
71.0,veh_6_5887,140.02243325492634,-1.6,7.488106634891651,0.6678546625675885,0
71.0,veh_6_9795,155.14292097622808,-1.6,7.507214162790658,0.43896591931799733,0
71.0,veh_7_3486,94.8028919736577,-1.6,7.392859008296662,-0.36927661936609013,0
71.0,veh_7_4318,65.11380540184325,-1.6,7.289853682073245,0.10422619659080645,0
71.0,veh_7_5107,79.87772853204905,-1.6,7.363382705332752,-0.2590055615035336,0
71.0,veh_8_3435,50.64015805743706,-1.6,7.066760978961875,-0.3813547090563052,0
71.0,veh_9_7818,23.65992125030032,-1.6,6.106602955761341,-0.27565354193759717,0
71.0,veh_9_8096,36.679784642002865,-1.6,6.82689144571087,1.085307076058415,0
71.0,veh_9_8565,12.294069994409247,-1.6,5.008766838094019,0.5764505158015787,0
